model,attack,epsilon,accuracy
clean,pgd_l2,0.0,0.849
clean,pgd_l2,0.25,0.1331
clean,pgd_l2,0.5,0.0141
clean,pgd_l2,1.0,0.0048
clean,pgd_l2,2.0,0.0021
clean,pgd_l2,3.0,0.001
clean,pgd_l2,5.0,0.0
clean,pgd_l2,8.0,0.0
clean,pgd_l2,12.0,0.0
linf_at,pgd_l2,0.0,0.5927
linf_at,pgd_l2,0.25,0.5269
linf_at,pgd_l2,0.5,0.4669
linf_at,pgd_l2,1.0,0.3444
linf_at,pgd_l2,2.0,0.1213
linf_at,pgd_l2,3.0,0.0261
linf_at,pgd_l2,5.0,0.0006
linf_at,pgd_l2,8.0,0.0
linf_at,pgd_l2,12.0,0.0
l2_at,pgd_l2,0.0,0.7706
l2_at,pgd_l2,0.25,0.6473
l2_at,pgd_l2,0.5,0.513
l2_at,pgd_l2,1.0,0.2696
l2_at,pgd_l2,2.0,0.028
l2_at,pgd_l2,3.0,0.0012
l2_at,pgd_l2,5.0,0.0
l2_at,pgd_l2,8.0,0.0
l2_at,pgd_l2,12.0,0.0
