model,attack,epsilon,accuracy
clean,pgd_linf,0.0,0.849
clean,pgd_linf,0.00784313725490196,0.0942
clean,pgd_linf,0.01568627450980392,0.0071
clean,pgd_linf,0.03137254901960784,0.0023
clean,pgd_linf,0.047058823529411764,0.0008
clean,pgd_linf,0.06274509803921569,0.0006
clean,pgd_linf,0.09411764705882353,0.0
clean,pgd_linf,0.12549019607843137,0.0
clean,pgd_linf,0.18823529411764706,0.0
clean,pgd_linf,0.25098039215686274,0.0
linf_at,pgd_linf,0.0,0.5927
linf_at,pgd_linf,0.00784313725490196,0.5315
linf_at,pgd_linf,0.01568627450980392,0.4726
linf_at,pgd_linf,0.03137254901960784,0.3606
linf_at,pgd_linf,0.047058823529411764,0.2451
linf_at,pgd_linf,0.06274509803921569,0.1416
linf_at,pgd_linf,0.09411764705882353,0.0352
linf_at,pgd_linf,0.12549019607843137,0.007
linf_at,pgd_linf,0.18823529411764706,0.0003
linf_at,pgd_linf,0.25098039215686274,0.0
l2_at,pgd_linf,0.0,0.7706
l2_at,pgd_linf,0.00784313725490196,0.6176
l2_at,pgd_linf,0.01568627450980392,0.4574
l2_at,pgd_linf,0.03137254901960784,0.18
l2_at,pgd_linf,0.047058823529411764,0.049
l2_at,pgd_linf,0.06274509803921569,0.0105
l2_at,pgd_linf,0.09411764705882353,0.0008
l2_at,pgd_linf,0.12549019607843137,0.0
l2_at,pgd_linf,0.18823529411764706,0.0
l2_at,pgd_linf,0.25098039215686274,0.0
