model,attack,epsilon,accuracy
clean,pgd_l2,0.0,0.9893
clean,pgd_l2,0.5,0.9574
clean,pgd_l2,1.0,0.8174
clean,pgd_l2,2.0,0.1003
clean,pgd_l2,3.0,0.0178
clean,pgd_l2,4.0,0.011
clean,pgd_l2,5.0,0.0063
clean,pgd_l2,7.0,0.0015
clean,pgd_l2,10.0,0.0001
linf_at,pgd_l2,0.0,0.9759
linf_at,pgd_l2,0.5,0.9546
linf_at,pgd_l2,1.0,0.9232
linf_at,pgd_l2,2.0,0.7602
linf_at,pgd_l2,3.0,0.4085
linf_at,pgd_l2,4.0,0.0788
linf_at,pgd_l2,5.0,0.0026
linf_at,pgd_l2,7.0,0.0
linf_at,pgd_l2,10.0,0.0
l2_at,pgd_l2,0.0,0.9849
l2_at,pgd_l2,0.5,0.972
l2_at,pgd_l2,1.0,0.9511
l2_at,pgd_l2,2.0,0.746
l2_at,pgd_l2,3.0,0.1703
l2_at,pgd_l2,4.0,0.0058
l2_at,pgd_l2,5.0,0.0
l2_at,pgd_l2,7.0,0.0
l2_at,pgd_l2,10.0,0.0
