model,attack,epsilon,accuracy
clean,pgd_linf,0.0,0.9893
clean,pgd_linf,0.05,0.9464
clean,pgd_linf,0.1,0.6789
clean,pgd_linf,0.2,0.0012
clean,pgd_linf,0.3,0.0
clean,pgd_linf,0.4,0.0
clean,pgd_linf,0.5,0.0
clean,pgd_linf,0.7,0.0
clean,pgd_linf,1.0,0.0
linf_at,pgd_linf,0.0,0.9759
linf_at,pgd_linf,0.05,0.9684
linf_at,pgd_linf,0.1,0.9596
linf_at,pgd_linf,0.2,0.9326
linf_at,pgd_linf,0.3,0.8801
linf_at,pgd_linf,0.4,0.0
linf_at,pgd_linf,0.5,0.0
linf_at,pgd_linf,0.7,0.0
linf_at,pgd_linf,1.0,0.0
l2_at,pgd_linf,0.0,0.9849
l2_at,pgd_linf,0.05,0.9749
l2_at,pgd_linf,0.1,0.9576
l2_at,pgd_linf,0.2,0.6369
l2_at,pgd_linf,0.3,0.0015
l2_at,pgd_linf,0.4,0.0
l2_at,pgd_linf,0.5,0.0
l2_at,pgd_linf,0.7,0.0
l2_at,pgd_linf,1.0,0.0
